language,brand,n_citations,n_trials,frequency,ci_low,ci_high
en,Semrush,420,490,0.8571428571428571,0.8233773978939205,0.885352081473423
en,Ahrefs,365,490,0.7448979591836735,0.7044990443045518,0.7814868844044838
en,Moz,337,490,0.6877551020408164,0.645397177138641,0.7271920348716198
en,Screaming Frog,171,490,0.3489795918367347,0.30809900000278734,0.39220967729330736
en,SE Ranking,146,490,0.2979591836734694,0.25916224390435905,0.3398993649106865
en,Surfer SEO,116,490,0.23673469387755103,0.20123601866689206,0.2763291079708946
en,AnswerThePublic,102,490,0.20816326530612245,0.17455398069462655,0.24631278759377265
en,BrightLocal,59,490,0.12040816326530612,0.09450671745914813,0.15221509304184663
en,Conductor,43,490,0.08775510204081632,0.06580229896625303,0.11612138770687033
en,Search Atlas,15,490,0.030612244897959183,0.01863766063120448,0.04988930934314394
en,Nightwatch,14,490,0.02857142857142857,0.01709433195987724,0.04738275527522921
fr,Semrush,426,490,0.8693877551020408,0.8366555232098178,0.8963732525929775
fr,Ahrefs,336,490,0.6857142857142857,0.6433003788262811,0.7252389504447375
fr,Moz,260,490,0.5306122448979592,0.4863576531303161,0.5743905879583134
fr,Screaming Frog,177,490,0.36122448979591837,0.3199242773490641,0.4046836963824823
fr,SE Ranking,137,490,0.2795918367346939,0.24168647663533288,0.32092618752653507
fr,AnswerThePublic,115,490,0.23469387755102042,0.199322114228059,0.2741931296704857
fr,Surfer SEO,81,490,0.1653061224489796,0.13504493446327037,0.2007742963010476
fr,BrightLocal,51,490,0.10408163265306122,0.08005342808107785,0.13426932050598123
fr,Conductor,29,490,0.05918367346938776,0.04152036419642853,0.0837049641273074
fr,Nightwatch,14,490,0.02857142857142857,0.01709433195987724,0.04738275527522921
fr,Search Atlas,7,490,0.014285714285714285,0.0069368565540758285,0.029191051506336874
