language,category,brand,n_citations,n_trials,frequency,ci_low,ci_high
en,alternative,Semrush,83,98,0.8469387755102041,0.7627113247514552,0.9049931718988073
en,alternative,Moz,72,98,0.7346938775510204,0.6396396953475812,0.8120427582687727
en,alternative,Ahrefs,71,98,0.7244897959183674,0.6288396121638469,0.8032044739039701
en,alternative,SE Ranking,35,98,0.35714285714285715,0.2693153421722757,0.4557475121482045
en,alternative,Screaming Frog,25,98,0.25510204081632654,0.1791746140210953,0.34950456481401365
en,alternative,AnswerThePublic,18,98,0.1836734693877551,0.11946063375519511,0.27174997224015385
en,alternative,Surfer SEO,13,98,0.1326530612244898,0.07918986679217617,0.21382890146048716
en,alternative,BrightLocal,2,98,0.02040816326530612,0.0056146141550349055,0.07138211106371999
en,cas_usage,Semrush,70,70,1.0,0.9479769375897331,1.0
en,cas_usage,Ahrefs,57,70,0.8142857142857143,0.7077442179325668,0.8881269999809798
en,cas_usage,Moz,55,70,0.7857142857142857,0.676088137365211,0.8656129698289221
en,cas_usage,AnswerThePublic,18,70,0.2571428571428571,0.16929275741343847,0.3702613014715483
en,cas_usage,SE Ranking,16,70,0.22857142857142856,0.1458806322257243,0.33950331593984906
en,cas_usage,BrightLocal,14,70,0.2,0.12304739248362953,0.30816644496253065
en,cas_usage,Screaming Frog,14,70,0.2,0.12304739248362953,0.30816644496253065
en,cas_usage,Surfer SEO,14,70,0.2,0.12304739248362953,0.30816644496253065
en,cas_usage,Conductor,5,70,0.07142857142857142,0.03089421703784702,0.1565541221709532
en,cas_usage,Search Atlas,1,70,0.014285714285714285,0.002526246457890298,0.0765818713120833
en,question_ouverte,Ahrefs,68,70,0.9714285714285714,0.9016774388157609,0.9921293880545587
en,question_ouverte,Semrush,64,70,0.9142857142857143,0.8253432750766051,0.9601233303548878
en,question_ouverte,Moz,61,70,0.8714285714285714,0.7733524405057481,0.9308589988466249
en,question_ouverte,Screaming Frog,41,70,0.5857142857142857,0.46881211784560456,0.6936982143126355
en,question_ouverte,Surfer SEO,25,70,0.35714285714285715,0.2550333927163484,0.47411605368658505
en,question_ouverte,SE Ranking,21,70,0.3,0.20536605257637988,0.4154431723877269
en,question_ouverte,AnswerThePublic,14,70,0.2,0.12304739248362953,0.30816644496253065
en,question_ouverte,BrightLocal,3,70,0.04285714285714286,0.014681541004111391,0.11859668748527552
en,recommandation_directe,Semrush,133,140,0.95,0.9003926927042931,0.9755717269632351
en,recommandation_directe,Ahrefs,129,140,0.9214285714285714,0.8647850070923281,0.9555626240248808
en,recommandation_directe,Moz,125,140,0.8928571428571429,0.8307429595750218,0.9339878829918682
en,recommandation_directe,Screaming Frog,69,140,0.4928571428571429,0.411345857883062,0.5747499449793583
en,recommandation_directe,SE Ranking,46,140,0.32857142857142857,0.2562557153155251,0.4100435533825593
en,recommandation_directe,AnswerThePublic,38,140,0.2714285714285714,0.2046044593860109,0.350461232211435
en,recommandation_directe,Surfer SEO,38,140,0.2714285714285714,0.2046044593860109,0.350461232211435
en,recommandation_directe,BrightLocal,15,140,0.10714285714285714,0.0660121170081319,0.16925704042497833
en,recommandation_directe,Conductor,12,140,0.08571428571428572,0.04971124458699672,0.14384532143337406
fr,alternative,Semrush,83,98,0.8469387755102041,0.7627113247514552,0.9049931718988073
fr,alternative,Moz,70,98,0.7142857142857143,0.6180933267840759,0.7943123917352038
fr,alternative,Ahrefs,65,98,0.6632653061224489,0.5651152259128323,0.7490986548637617
fr,alternative,SE Ranking,31,98,0.3163265306122449,0.2326706012892279,0.41383878283710385
fr,alternative,Screaming Frog,27,98,0.2755102040816326,0.19679552609602996,0.3711603878361532
fr,alternative,AnswerThePublic,21,98,0.21428571428571427,0.14464543449944173,0.30548027414151857
fr,alternative,Surfer SEO,6,98,0.061224489795918366,0.02835932368138567,0.12719087173151775
fr,cas_usage,Semrush,70,70,1.0,0.9479769375897331,1.0
fr,cas_usage,Ahrefs,47,70,0.6714285714285714,0.5550093573883407,0.770011306928139
fr,cas_usage,Moz,41,70,0.5857142857142857,0.46881211784560456,0.6936982143126355
fr,cas_usage,AnswerThePublic,24,70,0.34285714285714286,0.24245988802266877,0.45960450302055794
fr,cas_usage,Screaming Frog,14,70,0.2,0.12304739248362953,0.30816644496253065
fr,cas_usage,BrightLocal,13,70,0.18571428571428572,0.11187300001902034,0.2922557820674332
fr,cas_usage,SE Ranking,12,70,0.17142857142857143,0.10087724640529248,0.27616648032145436
fr,cas_usage,Surfer SEO,8,70,0.11428571428571428,0.05906128946637644,0.20964221582154374
fr,comparaison,Semrush,3,112,0.026785714285714284,0.009150819945928902,0.07580545495671442
fr,comparaison,Ahrefs,2,112,0.017857142857142856,0.004910811536248817,0.06278048742116135
fr,comparaison,SE Ranking,1,112,0.008928571428571428,0.0015778547032921364,0.0488484683088849
fr,question_ouverte,Semrush,63,70,0.9,0.807670851514326,0.9507106985574605
fr,question_ouverte,Ahrefs,61,70,0.8714285714285714,0.7733524405057481,0.9308589988466249
fr,question_ouverte,Moz,57,70,0.8142857142857143,0.7077442179325668,0.8881269999809798
fr,question_ouverte,Screaming Frog,43,70,0.6142857142857143,0.49715735589304233,0.7195230869846111
fr,question_ouverte,SE Ranking,24,70,0.34285714285714286,0.24245988802266877,0.45960450302055794
