language,brand,n_citations,n_trials,frequency,ci_low,ci_high
en,Semrush,350,490,0.7142857142857143,0.6727406022724274,0.7524970853479789
en,Ahrefs,325,490,0.6632653061224489,0.6202946052985121,0.7036960138408448
en,Moz,313,490,0.6387755102040816,0.5953163036175176,0.6800757226509359
en,Screaming Frog,149,490,0.3040816326530612,0.2650048156743361,0.34620644135843537
en,SE Ranking,118,490,0.24081632653061225,0.2050673604090572,0.28059753170721335
en,Surfer SEO,90,490,0.1836734693877551,0.15189408176086883,0.2203740936566268
en,AnswerThePublic,88,490,0.17959183673469387,0.14813838059373413,0.21603002934527754
en,BrightLocal,34,490,0.06938775510204082,0.05007646806018112,0.09539827395976458
en,Conductor,17,490,0.03469387755102041,0.02177214673750643,0.05485458871532591
en,Search Atlas,1,490,0.0020408163265306124,0.0003603450783601341,0.011468266546600795
fr,Semrush,356,490,0.726530612244898,0.6854160700250879,0.7641209140307702
fr,Ahrefs,301,490,0.6142857142857143,0.5704563765287474,0.6563370568688027
fr,Moz,242,490,0.49387755102040815,0.44982990507082277,0.5380204467114512
fr,Screaming Frog,152,490,0.31020408163265306,0.2708557945820156,0.3525051106684818
fr,SE Ranking,109,490,0.22244897959183674,0.18786409736291387,0.26135185010017903
fr,AnswerThePublic,101,490,0.20612244897959184,0.17265783815113359,0.24415904739802366
fr,Surfer SEO,57,490,0.11632653061224489,0.09087655307586809,0.14774549194664277
fr,BrightLocal,24,490,0.04897959183673469,0.03313217212393128,0.07184374250359479
fr,Conductor,5,490,0.01020408163265306,0.004366229098873537,0.02366191348305524
