language,provider,brand,n_citations,n_trials,frequency,ci_low,ci_high
en,anthropic,Semrush,207,245,0.8448979591836735,0.7942818609051903,0.8848654194592731
en,anthropic,Ahrefs,187,245,0.763265306122449,0.7062302680517394,0.8121720938832653
en,anthropic,Moz,165,245,0.673469387755102,0.612464988492537,0.7291179631700628
en,anthropic,SE Ranking,130,245,0.5306122448979592,0.46813079809182945,0.5921485463192178
en,anthropic,Screaming Frog,93,245,0.3795918367346939,0.3211266163171892,0.44177462899935915
en,anthropic,Surfer SEO,57,245,0.23265306122448978,0.1841209136079158,0.2894394785356068
en,anthropic,AnswerThePublic,53,245,0.2163265306122449,0.1693611286283544,0.27205027982927643
en,anthropic,BrightLocal,24,245,0.09795918367346938,0.0667141280762149,0.14161714865870068
en,anthropic,Conductor,22,245,0.08979591836734693,0.060047411736508,0.13220937315546172
en,anthropic,Search Atlas,8,245,0.0326530612244898,0.016636905661342714,0.06309843633000586
en,anthropic,Nightwatch,7,245,0.02857142857142857,0.013907542779737457,0.057790553290138165
en,openai,Semrush,213,245,0.8693877551020408,0.8214305265809342,0.9059402293123667
en,openai,Ahrefs,178,245,0.726530612244898,0.667541351558035,0.7785257970837133
en,openai,Moz,172,245,0.7020408163265306,0.6420104100162125,0.755833263096698
en,openai,Screaming Frog,78,245,0.3183673469387755,0.26322371399196026,0.379118842502494
en,openai,Surfer SEO,59,245,0.24081632653061225,0.19154147390011583,0.2980934100863526
en,openai,AnswerThePublic,49,245,0.2,0.15471700531720578,0.25454541945453324
en,openai,BrightLocal,35,245,0.14285714285714285,0.10454483889504236,0.1921961429760755
en,openai,Conductor,21,245,0.08571428571428572,0.05674469765865726,0.12747484131183953
en,openai,SE Ranking,16,245,0.0653061224489796,0.04059456657269366,0.10343874279043841
en,openai,Nightwatch,7,245,0.02857142857142857,0.013907542779737457,0.057790553290138165
en,openai,Search Atlas,7,245,0.02857142857142857,0.013907542779737457,0.057790553290138165
fr,anthropic,Semrush,214,245,0.8734693877551021,0.8259980319795753,0.9094099698351986
fr,anthropic,Ahrefs,174,245,0.710204081632653,0.650498816740086,0.7634193482157703
fr,anthropic,SE Ranking,122,245,0.49795918367346936,0.4358675820950317,0.5601137949442317
fr,anthropic,Moz,109,245,0.4448979591836735,0.3839975112369629,0.5074996688231524
fr,anthropic,Screaming Frog,90,245,0.3673469387755102,0.3094623896267775,0.42932711792535205
fr,anthropic,AnswerThePublic,55,245,0.22448979591836735,0.1767271296205249,0.28075877068005184
fr,anthropic,Surfer SEO,38,245,0.15510204081632653,0.11513458054072695,0.2057181390948098
fr,anthropic,BrightLocal,23,245,0.09387755102040816,0.06337094155125544,0.13692308926218721
fr,anthropic,Conductor,12,245,0.04897959183673469,0.028237299823050788,0.08364702585418952
fr,anthropic,Nightwatch,7,245,0.02857142857142857,0.013907542779737457,0.057790553290138165
fr,openai,Semrush,212,245,0.8653061224489796,0.8168759772496154,0.9024575327222127
fr,openai,Ahrefs,162,245,0.6612244897959184,0.5998775631014153,0.717593650796766
fr,openai,Moz,151,245,0.6163265306122448,0.5540851420635836,0.6749763666983951
fr,openai,Screaming Frog,87,245,0.3551020408163265,0.29783902788165384,0.41683874190605685
fr,openai,AnswerThePublic,60,245,0.24489795918367346,0.1952615046385006,0.3024106252694408
fr,openai,Surfer SEO,43,245,0.17551020408163265,0.1329907541351289,0.22804819510777247
fr,openai,BrightLocal,28,245,0.11428571428571428,0.08026394431607244,0.1602163161047349
fr,openai,Conductor,17,245,0.06938775510204082,0.04377030271990899,0.10830025256469601
fr,openai,SE Ranking,15,245,0.061224489795918366,0.03745036059669727,0.09854570284496186
fr,openai,Nightwatch,7,245,0.02857142857142857,0.013907542779737457,0.057790553290138165
fr,openai,Search Atlas,7,245,0.02857142857142857,0.013907542779737457,0.057790553290138165
