language,provider,brand,n_citations,n_trials,frequency,ci_low,ci_high
en,anthropic,Semrush,172,245,0.7020408163265306,0.6420104100162125,0.755833263096698
en,anthropic,Ahrefs,168,245,0.6857142857142857,0.6250967507299925,0.7405979386970263
en,anthropic,Moz,154,245,0.6285714285714286,0.5665192123560556,0.686654034170342
en,anthropic,SE Ranking,116,245,0.47346938775510206,0.41184149884431864,0.5359164026661073
en,anthropic,Screaming Frog,82,245,0.3346938775510204,0.2785600618651814,0.3959314783151647
en,anthropic,AnswerThePublic,46,245,0.18775510204081633,0.14381590770968175,0.2413347792976385
en,anthropic,Surfer SEO,45,245,0.1836734693877551,0.14019880598167506,0.23691463510417227
en,anthropic,BrightLocal,13,245,0.053061224489795916,0.03126817145519119,0.08865340014352206
en,anthropic,Conductor,10,245,0.04081632653061224,0.02231924133196043,0.073490592502334
en,anthropic,Search Atlas,1,245,0.004081632653061225,0.0007208721124959058,0.02275374842854209
en,openai,Semrush,178,245,0.726530612244898,0.667541351558035,0.7785257970837133
en,openai,Moz,159,245,0.6489795918367347,0.587333283190983,0.7060261929427794
en,openai,Ahrefs,157,245,0.6408163265306123,0.5789938723942758,0.6982911118965407
en,openai,Screaming Frog,67,245,0.27346938775510204,0.22147420291628683,0.33245864844196504
en,openai,Surfer SEO,45,245,0.1836734693877551,0.14019880598167506,0.23691463510417227
en,openai,AnswerThePublic,42,245,0.17142857142857143,0.1294002644068925,0.22360143891453593
en,openai,BrightLocal,21,245,0.08571428571428572,0.05674469765865726,0.12747484131183953
en,openai,Conductor,7,245,0.02857142857142857,0.013907542779737457,0.057790553290138165
en,openai,SE Ranking,2,245,0.00816326530612245,0.0022415238397857033,0.029270342622725237
fr,anthropic,Semrush,179,245,0.7306122448979592,0.6718160947654831,0.782288299797738
fr,anthropic,Ahrefs,160,245,0.6530612244897959,0.5915099837580138,0.7098867382972214
fr,anthropic,SE Ranking,108,245,0.44081632653061226,0.38003632241597063,0.5034236117226718
fr,anthropic,Moz,100,245,0.40816326530612246,0.3484978025518648,0.47066416421499413
fr,anthropic,Screaming Frog,77,245,0.3142857142857143,0.2594020613029738,0.37490324927000757
fr,anthropic,AnswerThePublic,48,245,0.19591836734693877,0.1510752029151716,0.25014997593509447
fr,anthropic,Surfer SEO,28,245,0.11428571428571428,0.08026394431607244,0.1602163161047349
fr,anthropic,BrightLocal,10,245,0.04081632653061224,0.02231924133196043,0.073490592502334
fr,anthropic,Conductor,2,245,0.00816326530612245,0.0022415238397857033,0.029270342622725237
fr,openai,Semrush,177,245,0.7224489795918367,0.6632723273749291,0.7747575753453461
fr,openai,Moz,142,245,0.5795918367346938,0.5170193646977843,0.639706930770938
fr,openai,Ahrefs,141,245,0.5755102040816327,0.5129223644347132,0.6357666851125363
fr,openai,Screaming Frog,75,245,0.30612244897959184,0.2517740313127549,0.3664567874172805
fr,openai,AnswerThePublic,53,245,0.2163265306122449,0.1693611286283544,0.27205027982927643
fr,openai,Surfer SEO,29,245,0.11836734693877551,0.08369153325693768,0.16482597308534264
fr,openai,BrightLocal,14,245,0.05714285714285714,0.03434047529915524,0.09361834222103096
fr,openai,Conductor,3,245,0.012244897959183673,0.004172947674973743,0.03537616470901013
fr,openai,SE Ranking,1,245,0.004081632653061225,0.0007208721124959058,0.02275374842854209
